Culture,Temperature,Disk,PercentSurvivorship
WT10,27,01,50
WT10,31,02,
WT10,27,03,70
WT10,27,04,
WT10,31,05,57.14285714
WT10,27,06,100
WT10,27,07,57.14285714
WT10,31,08,16.66666667
WT10,31,09,64.70588235
WT10,31,10,25
SS01,27,01,86.66666667
SS01,27,02,0
SS01,27,03,66.66666667
SS01,31,04,56.25
SS01,31,05,
SS01,31,06,46.15384615
SS01,27,07,
SS01,27,08,50
SS01,31,09,38.46153846
SS01,31,10,10
SS08,27,01,
SS08,31,02,65
SS08,27,03,69.23076923
SS08,27,04,70.37037037
SS08,31,05,43.75
SS08,27,06,94.44444444
SS08,27,07,71.42857143
SS08,31,08,20.58823529
SS08,31,09,16.66666667
SS08,31,10,
